
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2025-10-14 19:44:10 /api/login ....................................... ~ 1s
  2025-10-14 19:44:47 /api/verify .................................. ~ 0.29ms
  2025-10-14 19:54:41 /api/user .................................... ~ 0.34ms
  2025-10-14 19:54:41 /api/user .................................... ~ 0.20ms
  2025-10-14 19:54:46 /api/user .................................... ~ 0.22ms
  2025-10-14 19:54:46 /api/user .................................... ~ 0.34ms
  2025-10-14 19:54:50 /api/user .................................... ~ 0.33ms
  2025-10-14 19:54:50 /api/user .................................... ~ 0.11ms
  2025-10-14 19:55:06 /api/user .................................... ~ 0.40ms
  2025-10-14 19:55:06 /api/user .................................... ~ 0.10ms
  2025-10-14 19:55:30 /api/user .................................... ~ 0.29ms
  2025-10-14 19:55:30 /api/user .................................... ~ 0.10ms
  2025-10-14 20:13:02 /api/user .................................... ~ 0.22ms
  2025-10-14 20:13:02 /api/user .................................... ~ 0.09ms
  2025-10-14 20:13:06 /api/user .................................... ~ 0.43ms
  2025-10-14 20:13:06 /api/user .................................... ~ 0.09ms
  2025-10-14 20:18:55 /api/user .................................... ~ 0.08ms
  2025-10-14 20:19:00 /api/user .................................... ~ 0.30ms
  2025-10-14 20:19:00 /api/user .................................... ~ 0.08ms
  2025-10-14 20:19:01 /api/user .................................... ~ 0.08ms
  2025-10-14 20:19:03 /api/user .................................... ~ 0.08ms
  2025-10-14 20:19:03 /api/user .................................... ~ 0.05ms
  2025-10-14 20:19:04 /api/user .................................... ~ 0.13ms
  2025-10-14 20:19:09 /api/user .................................... ~ 0.23ms
  2025-10-14 20:19:11 /api/user .................................... ~ 0.26ms
  2025-10-14 20:19:16 /api/user .................................... ~ 0.24ms
  2025-10-14 20:30:27 /api/login ................................. ~ 500.67ms
  2025-10-14 20:30:45 /api/verify .................................. ~ 0.31ms
  2025-10-14 20:30:45 /api/user .................................... ~ 0.09ms
  2025-10-14 20:30:47 /api/user .................................... ~ 0.29ms
  2025-10-14 20:44:22 /api/user .................................... ~ 0.09ms
